HIP,Name,Num,Constellation,RA,Dec,Mag,NameJ,Prn
10718,,8,Per,34.49925,57.899806,5.75,,
10729,,χ,Per,34.519167,57.516333,5.99,,
10732,,θ,Ari,34.531458,19.901167,5.58,,
10793,,10,Tri,34.737458,28.642667,5.29,,
10819,,c,And,34.820208,47.38,5.31,,
10826,Mira,ο,Cet,34.836625,-2.977056,6.47,ミラ,1
10944,,63,And,35.242375,50.151528,5.57,,
11001,,δ,Hyi,35.437583,-68.659417,4.08,,
11021,,69,Cet,35.486,0.395694,5.29,,
11046,,70,Cet,35.551708,-0.88475,5.42,,
11060,,i,Per,35.589292,55.845667,5.16,,
11072,,κ,For,35.635083,-23.816306,5.19,,
11095,,κ,Hyi,35.718625,-73.645833,5.99,,
11220,,64,And,36.103708,50.006639,5.19,,
11249,,ξ,Ari,36.204333,10.610611,5.48,,
11258,,λ,Hor,36.224958,-60.311639,5.36,,
11261,,71,Cet,36.243292,-2.780028,6.34,,
11279,,10,Per,36.316792,56.609833,6.25,,
11313,,65,And,36.405833,50.278667,4.73,,
11345,,ρ,Cet,36.487542,-12.290444,4.88,,
11407,,κ,Eri,36.74625,-47.703833,4.24,,
11432,,11,Tri,36.865792,31.801361,5.55,,
11465,,66,And,36.965625,50.570194,6.16,,
11477,,φ,For,37.007042,-33.811056,5.13,,
11484,,ξ2,Cet,37.039667,8.460083,4.3,,
11486,,12,Tri,37.041625,29.669528,5.29,,
11548,,13,Tri,37.20225,29.931583,5.89,,
11569,,ι,Cas,37.266625,67.402389,4.46,,
11678,,26,Ari,37.659875,19.855389,6.14,,
11698,,27,Ari,37.726583,17.704056,6.21,,
11757,,μ,Hyi,37.917167,-79.10925,5.27,,
11767,Polaris,α,UMi,37.946167,89.264139,1.97,ポラリス(北極星),1
11783,,σ,Cet,38.022,-15.244333,4.74,,
11784,,14,Tri,38.025583,36.147222,5.15,,
11791,,75,Cet,38.039333,-1.034806,5.36,,
11843,,29,Ari,38.225625,15.034472,6,,
11867,,λ1,For,38.279333,-34.649917,5.91,,
11918,,ω,For,38.461292,-28.232333,4.96,,
12002,,77,Cet,38.677458,-7.859278,5.74,,
12086,,15,Tri,38.945,34.687694,5.38,,
12093,,ν,Cet,38.968708,5.593306,4.87,,
12107,,80,Cet,39.000292,-7.831444,5.53,,
12122,,ι1,For,39.038667,-30.044972,5.74,,
12153,,31,Ari,39.157292,12.447833,5.64,,
12184,,30B,Ari,39.240167,24.648083,7.1,,
12186,,λ2,For,39.24425,-34.577333,5.78,,
12189,,30A,Ari,39.251833,24.64725,6.48,,
12225,,η,Hor,39.351083,-52.543083,5.3,,
12247,,81,Cet,39.424083,-3.396056,5.65,,
12288,,ι2,For,39.5775,-30.193889,5.84,,
12332,,ν,Ari,39.704167,21.961444,5.45,,
12387,,δ,Cet,39.870625,0.328528,4.08,,
12390,,ε,Cet,39.890542,-11.871583,4.83,,
12394,,ε,Hyi,39.89675,-68.266944,4.12,,
12413,,s,Eri,39.949667,-42.891639,4.74,,
12484,,ζ,Hor,40.164917,-54.549917,5.21,,
12486,,ι,Eri,40.166375,-39.855306,4.11,,
12489,,33,Ari,40.170958,27.061,5.3,,
12530,,84,Cet,40.307792,-0.695361,5.72,,
12623,,12,Per,40.562208,40.194389,4.91,,
12640,,μ,Ari,40.591333,20.011583,5.74,,
12653,,ι,Hor,40.638167,-50.800833,5.4,,
12692,,11,Per,40.761667,55.106083,5.76,,
