県番号,都道府県,名称,郵便番号,住所,緯度,経度
35,山口県,山口,754-0002,山口県小郡下郷1286-6,34.0958614,131.3967463
35,山口県,防府,747-0037,山口県防府市八王子2-1-7,34.0572222,131.5680894
35,山口県,徳山,745-0816,山口県周南市遠石2-9-11,34.0428227,131.8236081
35,山口県,岩国,740-0012,山口県岩国市元町3-5-6　公園通りビル4Ｆ,34.1709735,132.2297889
39,高知県,高知,780-8011,高知県高知市梅ノ辻8-8,33.5534518,133.5437016
39,高知県,高知東,783-0005,高知県南国市大そね乙780,33.5648259,133.654286
36,徳島県,徳島,771-0142,徳島県徳島市川内町沖島298-7,34.1085634,134.5707617
36,徳島県,阿南,779-1101,徳島県阿南市羽ノ浦町中庄原ノ内34-1,33.9631905,134.6259943
37,香川県,高松,760-0080,香川県高松市木太町1636-5,34.3232466,134.075193
37,香川県,高松西,761-8055,香川県高松市紙町581-2,34.3157474,134.0330434
37,香川県,丸亀,763-0092,香川県丸亀市川西町南249-1,34.2549108,133.8322914
37,香川県,観音寺,768-0011,香川県観音寺市出作町652-2,34.1163646,133.6778715
38,愛媛県,松山,790-0043,愛媛県松山市保免西2丁目3-5,33.8157525,132.7426162
38,愛媛県,新居浜,792-0026,愛媛県新居浜市久保田町3丁目1-4 第一アイワビル401,33.9561341,133.2864061
38,愛媛県,四国中央,799-0405,愛媛県四国中央市三島中央3-11-24,33.9829059,133.5433778
38,愛媛県,今治,794-0043,愛媛県今治市南宝来町1丁目2-4,34.0621671,132.9972621
38,愛媛県,宇和島,798-0067,愛媛県宇和島市桝形町3丁目8-26,33.2192085,132.5605924
40,福岡県,福岡,815-0082,福岡県福岡市南区大楠3-19-29,33.5676294,130.415296
40,福岡県,福岡東,811-2318,福岡県粕屋郡粕屋町戸原東1-2-5-3F,33.6193745,130.4776281
40,福岡県,福岡西,814-0161,福岡県福岡市早良区飯倉2-14-25,33.5645417,130.3520665
40,福岡県,北九州,803-0844,福岡県北九州市小倉北区真鶴2丁目11-5　真鶴ビル301号,33.8723822,130.8530193
40,福岡県,八幡,805-0068,福岡県北九州市八幡東区桃園2-14-10 301,33.8632551,130.7839207
40,福岡県,久留米,839-0861,福岡県久留米市合川町1573,33.3134533,130.5345017
40,福岡県,大牟田,836-0021,福岡県大牟田市浜町1-8　浜町マンション1F,33.0381018,130.4457243
41,佐賀県,佐賀,849-0917,佐賀市高木瀬町大字長瀬1771-1,33.2993074,130.2859649
41,佐賀県,唐津,847-0031,佐賀県唐津市原1376-1,33.4166551,129.9950824
42,長崎県,諫早,854-0022,長崎県諫早市幸町24-33,32.8392706,130.0616682
42,長崎県,長崎,850-0022,長崎県長崎市馬町15‐3,32.7522458,129.8826906
42,長崎県,佐世保,857-1165,長崎県佐世保市大和町731-4,33.1583518,129.7520125
